movie_key,movie_title,country_name,persistence_in_country,best_rank_in_country,first_week_in_country,last_week_in_country
'76,'76,Nigeria,2,3,6,7
'83,'83,Australia,1,6,39,39
'83,'83,Bahrain,2,1,39,40
'83,'83,Bangladesh,7,1,39,45
'83,'83,Canada,1,9,39,39
'83,'83,Hong Kong,1,9,39,39
'83,'83,India,7,1,39,45
'83,'83,Kenya,1,5,39,39
'83,'83,Kuwait,2,3,39,40
'83,'83,Malaysia,1,5,39,39
'83,'83,Maldives,5,1,39,43
'83,'83,Mauritius,2,1,39,40
'83,'83,New Zealand,1,5,39,39
'83,'83,Oman,4,1,39,42
'83,'83,Pakistan,7,1,39,45
'83,'83,Qatar,2,1,39,40
'83,'83,Saudi Arabia,2,5,39,40
'83,'83,Singapore,2,2,39,40
'83,'83,Sri Lanka,5,1,39,43
'83,'83,United Arab Emirates,3,1,39,41
'83,'83,United Kingdom,1,10,39,39
10 cloverfield lane,10 Cloverfield Lane,Finland,3,6,54,56
10 cloverfield lane,10 Cloverfield Lane,France,1,10,6,6
10 cloverfield lane,10 Cloverfield Lane,Jordan,1,8,50,50
10 cloverfield lane,10 Cloverfield Lane,Kuwait,1,8,50,50
10 cloverfield lane,10 Cloverfield Lane,Morocco,1,10,50,50
10 cloverfield lane,10 Cloverfield Lane,Réunion,1,10,6,6
10 cloverfield lane,10 Cloverfield Lane,Saudi Arabia,1,6,50,50
10 cloverfield lane,10 Cloverfield Lane,South Korea,1,10,6,6
10 cloverfield lane,10 Cloverfield Lane,Thailand,1,5,45,45
10 cloverfield lane,10 Cloverfield Lane,Turkey,1,4,50,50
"10,000 b.c.","10,000 B.C.",Australia,1,9,56,56
"10,000 b.c.","10,000 B.C.",New Zealand,1,8,56,56
"10,000 b.c.","10,000 B.C.",Philippines,1,6,58,58
"10,000 b.c.","10,000 B.C.",Thailand,2,5,58,59
"10,000 b.c.","10,000 B.C.",United States,1,7,50,50
100 days with tata,100 Days with Tata,Spain,2,8,49,50
1000 miles from christmas,1000 Miles from Christmas,Cyprus,2,6,26,27
1000 miles from christmas,1000 Miles from Christmas,Czech Republic,1,8,27,27
1000 miles from christmas,1000 Miles from Christmas,Greece,2,6,26,27
1000 miles from christmas,1000 Miles from Christmas,Hungary,2,6,26,27
1000 miles from christmas,1000 Miles from Christmas,Italy,2,9,26,27
1000 miles from christmas,1000 Miles from Christmas,Lithuania,1,10,27,27
1000 miles from christmas,1000 Miles from Christmas,Luxembourg,2,7,26,27
1000 miles from christmas,1000 Miles from Christmas,Malta,2,6,26,27
1000 miles from christmas,1000 Miles from Christmas,Poland,2,5,26,27
1000 miles from christmas,1000 Miles from Christmas,Romania,1,10,26,26
1000 miles from christmas,1000 Miles from Christmas,Russia,2,4,26,27
1000 miles from christmas,1000 Miles from Christmas,Slovakia,1,6,27,27
1000 miles from christmas,1000 Miles from Christmas,Spain,2,2,26,27
1000 miles from christmas,1000 Miles from Christmas,Switzerland,2,8,26,27
