movie_key,movie_title,global_persistence,global_spread,global_duration,best_rank
red notice,Red Notice,39,94,41,1
army of thieves,Army of Thieves,21,94,30,1
don't look up,Don't Look Up,19,94,20,1
love hard,Love Hard,9,94,9,1
kate,Kate,8,94,8,1
the tinder swindler,The Tinder Swindler,8,94,8,1
the unforgivable,The Unforgivable,8,94,8,1
blood red sky,Blood Red Sky,6,94,57,1
the guilty,The Guilty,6,94,24,1
sweet girl,Sweet Girl,5,94,5,1
texas chainsaw massacre,Texas Chainsaw Massacre,5,94,5,1
the harder they fall,The Harder They Fall,4,94,4,1
the kissing booth 3,The Kissing Booth 3,4,94,4,1
the royal treatment,The Royal Treatment,4,94,4,1
beckett,Beckett,3,94,3,1
intrusion,Intrusion,3,94,4,1
night teeth,Night Teeth,3,94,3,1
the adam project,The Adam Project,16,93,22,1
senior year,Senior Year,11,93,13,1
the man from toronto,The Man from Toronto,8,93,8,1
through my window,Through My Window,8,93,12,1
365 days: this day,365 Days: This Day,7,93,10,1
interceptor,Interceptor,7,93,7,1
the sea beast,The Sea Beast,7,93,7,1
a perfect pairing,A Perfect Pairing,5,93,5,1
black crab,Black Crab,5,93,5,1
he's all that,He's All That,5,93,5,1
spiderhead,Spiderhead,5,93,6,1
the gray man,The Gray Man,5,93,5,1
the weekend away,The Weekend Away,5,93,5,1
purple hearts,Purple Hearts,4,93,4,1
the forgotten battle,The Forgotten Battle,4,93,4,1
brazen,Brazen,3,93,3,1
day shift,Day Shift,2,93,2,1
hypnotic,Hypnotic,2,93,2,2
back to the outback,Back to the Outback,14,92,34,1
hustle,Hustle,9,92,9,1
the in between,The In Between,5,92,5,1
mother/android,Mother/Android,4,92,4,1
against the ice,Against The Ice,3,92,4,1
carter,Carter,3,92,3,1
the next 365 days,The Next 365 Days,1,92,1,1
the takedown,The Takedown,6,91,6,1
persuasion,Persuasion,5,91,5,2
afterlife of the party,Afterlife of the Party,4,91,4,1
love & gelato,Love & Gelato,5,90,5,1
home team,Home Team,4,90,4,1
choose or die,Choose or Die,3,90,3,1
vivo,Vivo,9,89,9,2
major grom: plague doctor,Major Grom: Plague Doctor,7,89,57,1
my little pony: a new generation,My Little Pony: A New Generation,6,89,6,2
fatherhood,Fatherhood,5,89,17,1
the last mercenary,The Last Mercenary,4,89,4,1
look both ways,Look Both Ways,1,89,1,1
tall girl 2,Tall Girl 2,4,88,4,2
aftermath,Aftermath,3,88,3,1
silverton siege,Silverton Siege,3,88,3,2
fistful of vengeance,Fistful of Vengeance,2,88,2,1
no one gets out alive,No One Gets Out Alive,2,88,2,2
rescued by ruby,Rescued by Ruby,4,87,4,2
the princess switch 3: romancing the star,The Princess Switch 3: Romancing the Star,4,86,4,2
wedding season,Wedding Season,3,86,3,2
army of the dead,Army of the Dead,8,85,22,2
munich – the edge of war,Munich – The Edge of War,3,85,3,1
resort to love,Resort to Love,5,84,6,1
bruised,Bruised,3,84,5,1
central intelligence,Central Intelligence,3,84,16,2
the privilege,The Privilege,2,84,2,3
restless,Restless,6,83,6,1
spider-man: homecoming,Spider-Man: Homecoming,10,82,31,2
wish dragon,Wish Dragon,8,82,10,1
furioza,Furioza,6,82,6,1
trollhunters: rise of the titans,Trollhunters: Rise of the Titans,2,82,2,2
fear street part 3: 1666,Fear Street Part 3: 1666,3,81,3,1
the starling,The Starling,3,81,3,2
there's someone inside your house,There's Someone Inside Your House,2,81,2,1
man on fire,Man on Fire,5,79,7,1
recurrence,Recurrence,3,79,3,1
a castle for christmas,A Castle For Christmas,4,78,4,1
jack reacher: never go back,Jack Reacher: Never Go Back,4,78,38,1
valley of the dead,Valley of the Dead,3,78,3,1
kingdom: ashin of the north,Kingdom: Ashin of the North,12,76,15,1
in good hands,In Good Hands,5,76,5,1
transformers: the last knight,Transformers: The Last Knight,4,76,29,2
the last letter from your lover,The Last Letter From Your Lover,4,75,37,2
nightbooks,Nightbooks,2,75,2,2
windfall,Windfall,2,75,2,3
the croods,The Croods,6,74,30,2
fear street part 1: 1994,Fear Street Part 1: 1994,4,74,4,2
warcraft,Warcraft,3,74,41,1
365 days,365 Days,3,74,3,2
prey,Prey,2,74,2,3
sas: rise of the black swan,SAS: Rise of the Black Swan,5,73,5,1
a california christmas: city lights,A California Christmas: City Lights,2,73,2,2
the bombardment,The Bombardment,4,72,4,2
sonic the hedgehog,Sonic the Hedgehog,12,71,55,1
a boy called christmas,A Boy Called Christmas,7,71,7,1
fear street part 2: 1978,Fear Street Part 2: 1978,3,71,3,3
riverdance: the animated adventure,Riverdance: The Animated Adventure,3,71,3,3
love tactics,Love Tactics,6,70,7,1
dangerous liaisons,Dangerous Liaisons,4,70,4,2
yara,Yara,3,70,3,2
honeymoon with my mother,Honeymoon with My Mother,6,69,6,1
rurouni kenshin: the beginning,Rurouni Kenshin: The Beginning,6,69,35,1
the trip,The Trip,5,69,5,1
venom,Venom,8,68,46,1
toscana,Toscana,7,68,7,1
the power of the dog,The Power of the Dog,5,68,18,1
the loud house movie,The Loud House Movie,4,68,4,2
the pirates: the last royal treasure,The Pirates: The Last Royal Treasure,7,67,7,1
6 underground,6 Underground,6,67,27,2
chernobyl 1986,Chernobyl 1986,5,67,38,1
girl in the picture,Girl in the Picture,4,67,4,1
the witcher: nightmare of the wolf,The Witcher: Nightmare of the Wolf,4,67,4,1
halftime,Halftime,3,67,3,2
ride along 2,Ride Along 2,3,66,16,1
the father who moves mountains,The Father Who Moves Mountains,3,66,3,1
centauro,Centauro,2,66,2,3
royalteen,Royalteen,1,66,1,1
the perfect family,The Perfect Family,7,65,7,1
stuck together,Stuck Together,4,65,13,1
rrr (hindi),RRR (Hindi),14,64,14,1
f*ck love too,F*ck Love Too,4,64,4,1
13 hours: the secret soldiers of benghazi,13 Hours: The Secret Soldiers of Benghazi,5,63,55,1
spoiled brats,Spoiled Brats,4,62,23,1
the mystery of marilyn monroe: the unheard tapes,The Mystery of Marilyn Monroe: The Unheard Tapes,3,62,3,2
trust no one: the hunt for the crypto king,Trust No One: The Hunt for the Crypto King,2,62,2,1
black island,Black Island,2,62,2,2
yaksha: ruthless operations,Yaksha: Ruthless Operations,8,61,8,1
along for the ride,Along for the Ride,4,61,5,3
without saying goodbye,Without Saying Goodbye,3,61,3,1
fast & furious presents: hobbs & shaw,Fast & Furious Presents: Hobbs & Shaw,6,60,30,1
the stronghold,The Stronghold,3,60,3,1
the bubble,The Bubble,2,60,2,2
father christmas is back,Father Christmas Is Back,2,60,2,3
schumacher,Schumacher,5,59,5,1
heat,Heat,3,59,4,2
jack reacher,Jack Reacher,3,58,29,1
my father's violin,My Father's Violin,3,58,3,1
the taming of the shrewd,The Taming of the Shrewd,3,58,3,1
britney vs spears,Britney Vs Spears,3,57,3,2
friendzone,Friendzone,3,56,3,2
security,Security,2,56,16,1
gemini man,Gemini Man,7,55,60,1
how i fell in love with a gangster,How I Fell in Love with a Gangster,7,55,7,1
spider-man: into the spider-verse,Spider-Man: Into the Spider-Verse,7,55,57,1
our father,Our Father,4,55,4,2
amandla,Amandla,3,55,3,1
the water man,The Water Man,3,55,8,1
my best friend anne frank,My Best Friend Anne Frank,3,55,13,2
what happens in vegas,What Happens in Vegas,2,55,8,1
the secret life of pets,The Secret Life of Pets,9,54,52,2
glamour girls,Glamour Girls,6,54,6,1
bohemian rhapsody,Bohemian Rhapsody,5,54,48,1
the invisible man,The Invisible Man,3,54,42,2
collision,Collision,2,54,2,2
deep impact,Deep Impact,3,53,35,1
the secret life of pets 2,The Secret Life of Pets 2,14,52,60,1
in time,In Time,3,52,32,2
jackass 4.5,Jackass 4.5,4,51,4,1
the angry birds movie 2,The Angry Birds Movie 2,4,51,60,1
kung fu panda 3,Kung Fu Panda 3,4,51,46,2
bartkowiak,Bartkowiak,2,51,2,4
don't kill me,Don't Kill Me,1,51,1,2
spider-man: far from home,Spider-Man: Far from Home,9,50,59,1
downfall: the case against boeing,Downfall: The Case Against Boeing,3,50,3,1
how i became a superhero,How I Became a Superhero,2,50,2,1
the amazing spider-man,The Amazing Spider-Man,5,49,46,1
mr. & mrs. smith,Mr. & Mrs. Smith,4,49,37,1
jumanji: the next level,Jumanji: The Next Level,6,48,55,1
the wrath of god,The Wrath of God,3,48,3,1
good on paper,Good on Paper,2,48,2,2
gangubai kathiawadi,Gangubai Kathiawadi,13,47,14,1
how it ends,How It Ends,4,47,4,2
noah,Noah,4,47,34,2
abominable,Abominable,5,46,46,1
marmaduke,Marmaduke,4,46,45,2
bad boys for life,Bad Boys for Life,3,46,51,1
single all the way,Single All The Way,3,46,3,2
"hello, goodbye, and everything in between","Hello, Goodbye, and Everything in Between",3,46,3,4
anonymously yours,Anonymously Yours,2,46,2,2
hotel transylvania 3: summer vacation,Hotel Transylvania 3: Summer Vacation,15,45,59,1
the equalizer 2,The Equalizer 2,5,45,60,1
14 peaks: nothing is impossible,14 Peaks: Nothing Is Impossible,4,45,5,1
the hunt,The Hunt,4,45,41,1
heart parade,Heart Parade,3,45,3,1
into the wind,Into the Wind,2,45,2,3
only mine,Only Mine,2,45,2,4
the magnificent seven,The Magnificent Seven,4,44,31,1
dolittle,Dolittle,4,44,38,2
jason bourne,Jason Bourne,2,44,26,2
a madea homecoming,A Madea Homecoming,9,43,22,1
too old for fairy tales,Too Old for Fairy Tales,5,43,5,1
escape room,Escape Room,4,43,37,1
black and blue,Black and Blue,4,43,57,2
the lost daughter,The Lost Daughter,3,43,3,2
bloodshot,Bloodshot,5,42,60,1
unfaithful,Unfaithful,3,42,3,2
men in black: international,Men in Black: International,4,41,41,1
knight and day,Knight and Day,3,41,5,1
street kings,Street Kings,2,41,9,4
blasted,Blasted,1,41,1,3
trolls,Trolls,4,40,30,3
metal lords,Metal Lords,3,40,3,4
me before you,Me Before You,2,40,46,1
lulli,Lulli,2,40,2,2
the accountant,The Accountant,5,39,51,1
memoirs of a geisha,Memoirs of a Geisha,3,39,55,1
the old ways,The Old Ways,2,39,2,1
the swarm,The Swarm,2,39,2,2
once upon a time in hollywood,Once Upon a Time in Hollywood,3,38,52,1
this little love of mine,This Little Love of Mine,3,38,3,1
first daughter,First Daughter,3,38,3,4
the dead don't die,The Dead Don't Die,2,38,58,2
monte carlo,Monte Carlo,2,38,3,3
john wick: chapter 3 - parabellum,John Wick: Chapter 3 - Parabellum,7,37,57,1
mission: impossible - fallout,Mission: Impossible - Fallout,3,37,59,1
charlie's angels,Charlie's Angels,3,37,52,2
the amazing spider-man 2,The Amazing Spider-Man 2,3,37,28,4
anna,Anna,6,36,36,1
the hobbit: an unexpected journey,The Hobbit: An Unexpected Journey,4,36,29,1
sniper: assassin's end,Sniper: Assassin's End,3,36,57,1
flight,Flight,2,36,45,1
how the grinch stole christmas,How the Grinch Stole Christmas,7,35,11,2
a perfect fit,A Perfect Fit,4,35,4,1
knives out,Knives Out,4,35,55,1
the whole truth,The Whole Truth,4,35,4,1
gone girl,Gone Girl,3,35,34,2
