country_name,country_iso2,week,week_date,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Argentina,AR,60,2022-08-21,Films,1,Look Both Ways,Movie,1
Argentina,AR,60,2022-08-21,Films,2,Day Shift,Movie,2
Argentina,AR,60,2022-08-21,Films,3,Bank Robbers: The Last Great Heist,Movie,2
Argentina,AR,60,2022-08-21,Films,4,The Next 365 Days,Movie,1
Argentina,AR,60,2022-08-21,Films,5,The Angry Birds Movie 2,Movie,1
Argentina,AR,60,2022-08-21,Films,6,Purple Hearts,Movie,4
Argentina,AR,60,2022-08-21,Films,7,River Runs Red,Movie,1
Argentina,AR,60,2022-08-21,Films,8,1917,Movie,2
Argentina,AR,60,2022-08-21,Films,9,Code Name: Emperor,Movie,2
Argentina,AR,60,2022-08-21,Films,10,Royalteen,Movie,1
Argentina,AR,59,2022-08-14,Films,1,Bank Robbers: The Last Great Heist,Movie,1
Argentina,AR,59,2022-08-14,Films,2,Purple Hearts,Movie,3
Argentina,AR,59,2022-08-14,Films,3,1917,Movie,1
Argentina,AR,59,2022-08-14,Films,4,Day Shift,Movie,1
Argentina,AR,59,2022-08-14,Films,5,Code Name: Emperor,Movie,1
Argentina,AR,59,2022-08-14,Films,6,Carter,Movie,2
Argentina,AR,59,2022-08-14,Films,7,Recurrence,Movie,3
Argentina,AR,59,2022-08-14,Films,8,Wedding Season,Movie,2
Argentina,AR,59,2022-08-14,Films,9,Dreamkatcher,Movie,1
Argentina,AR,59,2022-08-14,Films,10,The Gray Man,Movie,4
Argentina,AR,58,2022-08-07,Films,1,Purple Hearts,Movie,2
Argentina,AR,58,2022-08-07,Films,2,Recurrence,Movie,2
Argentina,AR,58,2022-08-07,Films,3,Spider-Man: Far from Home,Movie,2
Argentina,AR,58,2022-08-07,Films,4,Carter,Movie,1
Argentina,AR,58,2022-08-07,Films,5,The Gray Man,Movie,3
Argentina,AR,58,2022-08-07,Films,6,Don’t Blame Karma!,Movie,1
Argentina,AR,58,2022-08-07,Films,7,Primal Fear,Movie,1
Argentina,AR,58,2022-08-07,Films,8,Wedding Season,Movie,1
Argentina,AR,58,2022-08-07,Films,9,The Sea Beast,Movie,5
Argentina,AR,58,2022-08-07,Films,10,Company of Heroes,Movie,1
Argentina,AR,57,2022-07-31,Films,1,Recurrence,Movie,1
Argentina,AR,57,2022-07-31,Films,2,The Gray Man,Movie,2
Argentina,AR,57,2022-07-31,Films,3,Purple Hearts,Movie,1
Argentina,AR,57,2022-07-31,Films,4,Spider-Man: Far from Home,Movie,1
Argentina,AR,57,2022-07-31,Films,5,Too Old for Fairy Tales,Movie,2
Argentina,AR,57,2022-07-31,Films,6,Thursday's Widows,Movie,2
Argentina,AR,57,2022-07-31,Films,7,The Sea Beast,Movie,4
Argentina,AR,57,2022-07-31,Films,8,Clean,Movie,3
Argentina,AR,57,2022-07-31,Films,9,Persuasion,Movie,3
Argentina,AR,57,2022-07-31,Films,10,Daughter of the Wolf,Movie,2
Argentina,AR,56,2022-07-24,Films,1,The Gray Man,Movie,1
Argentina,AR,56,2022-07-24,Films,2,Clean,Movie,2
Argentina,AR,56,2022-07-24,Films,3,The Sea Beast,Movie,3
Argentina,AR,56,2022-07-24,Films,4,Daughter of the Wolf,Movie,1
Argentina,AR,56,2022-07-24,Films,5,Persuasion,Movie,2
Argentina,AR,56,2022-07-24,Films,6,Too Old for Fairy Tales,Movie,1
